TestNo,BLOCK_X,BLOCK_Y,Score_1,Score_2,Score_3,Score_Overall
1,32,2,0.552680015564,0.579154968262,0.611569881439,0.579154968262
2,64,2,0.550972938538,0.552774906158,0.573209047318,0.552774906158
3,128,2,0.549688100815,0.55030798912,0.570899009705,0.55030798912
4,32,4,0.554998874664,0.557199954987,0.57789516449,0.557199954987
5,64,4,0.552047967911,0.555194139481,0.582362174988,0.555194139481
6,128,4,0.57498383522,0.58017706871,0.590630054474,0.58017706871
7,32,6,0.547327041626,0.554831027985,0.584486961365,0.554831027985
8,64,6,0.550820112228,0.554163217545,0.57758808136,0.554163217545
9,128,6,0.552355051041,0.558702945709,0.585399866104,0.558702945709
